CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b
0.0,0.0,0.0,-2.1237246499294997,0.006691839602623936,0.0,0.02,4250.0,0.0
769.1262283429135,642.7558718715303,750.99396479014,-2328.0511486985124,0.006371434042291734,1.0,0.02,4200.0,3.5682435870027843e-05
1408.175950213927,1134.5929449365303,1361.3444295114834,-4231.946731072829,0.00613007023519823,2.0,0.02,4200.0,7.13013232899229e-05
1959.0028154442953,1523.6699554441286,1703.5337475098443,-5838.796476370058,0.005919069190579361,3.0,0.02,4200.0,0.00010685688820990892
2445.018718076918,1837.3931897376608,1970.8838431520796,-7225.455012290935,0.005731932085258561,4.0,0.02,4200.0,0.0001423493553772791
2880.9347262930382,2093.352099156072,2385.849357870196,-8442.445986650164,0.0055640654463630914,5.0,0.02,4200.0,0.0001777789483449199
3276.7161222178756,2303.606998550438,2775.2396933820064,-9524.770071561667,0.0054120932967406665,6.0,0.02,4200.0,0.00021314588947975957
3639.4898891413504,2476.8070904734914,3136.5817103344866,-10497.70945359009,0.005250820491443757,7.0,0.02,4150.0,0.00024845039997114225
3974.5596866463775,2619.6915245200435,3473.2837540107907,-11380.262676046652,0.005124730291352731,8.0,0.02,4150.0,0.00028369269983912767
4285.996507045703,2737.114926722873,3788.5289826032254,-12186.576732645313,0.005008273295377337,9.0,0.02,4150.0,0.0003188730079427189
4577.001768858415,2833.3347353534823,4084.9254591581353,-12927.913552683043,0.004900200814305483,10.0,0.02,4150.0,0.0003539915419880172
4850.146803445078,2911.3457323943067,4364.945850280368,-13613.244576490077,0.004799489593287392,11.0,0.02,4150.0,0.0003890485185363046
5107.534692414625,2974.046454054028,4630.085386957266,-14249.830745035477,0.004705290426190615,12.0,0.02,4150.0,0.0004240441530120581
5350.903454189339,3023.3640550759815,4882.255975284212,-14843.629802373027,0.00461689076731684,13.0,0.02,4150.0,0.00045897865971089135
5581.7128960096,3061.4392559248,5122.430990788389,-15399.589190835854,0.004533686921851547,14.0,0.02,4150.0,0.0004938522518074282
5801.200929402668,3089.54133763321,5351.8589826223515,-15921.861314175963,0.004455162838596654,15.0,0.02,4150.0,0.0005286651413631086
6010.427041452868,3109.1816210303055,5571.572089659071,-16413.964117632568,0.004380874008517332,16.0,0.02,4150.0,0.0005634175393339245
6210.305534414122,3121.403337495259,5782.234934491386,-16878.903065426406,0.004310434985074022,17.0,0.02,4150.0,0.0005981096555780908
6401.6326475686,3127.128399086873,5984.5475112878285,-17319.33334323675,0.004228667680404726,18.0,0.02,4100.0,0.000632741698863649
6585.104620882426,3127.3963148882303,6179.397933194732,-17737.4627524615,0.004165398955517927,19.0,0.02,4100.0,0.0006673138768760085
6761.333449257454,3122.7356247007183,6367.181102657811,-18135.206971202526,0.004105058217139885,20.0,0.02,4100.0,0.0007018263962254038
6930.8623261588455,3113.8173723091973,6548.333433616119,-18514.28368085878,0.00404741730383147,21.0,0.02,4100.0,0.000736279462454328
7094.176490148773,3101.3499396894545,6723.327869924113,-18876.206933679554,0.003992272844252302,22.0,0.02,4100.0,0.0007706732800448598
7251.708884415088,3085.665302132414,6892.55374036385,-19222.319184693224,0.003939443060368946,23.0,0.02,4100.0,0.0008050080524259507
7403.844944943329,3067.205144881477,7056.526420304586,-19553.814586859655,0.003888764491267621,24.0,0.02,4100.0,0.0008392839819806442
7550.938480697514,3046.4159700435202,7215.505032776435,-19871.761327815417,0.0038400900266114353,25.0,0.02,4100.0,0.0008735012700532328
7693.304469835798,3023.641375896095,7369.709522343216,-20177.11699824636,0.0037932864324574473,26.0,0.02,4100.0,0.0009076601169563551
7831.2298742993335,2999.1127621972546,7519.422262693726,-20470.744692706627,0.0037482330672106005,27.0,0.02,4100.0,0.0009417607219780316
7964.980236835876,2973.1024060877276,7664.881381531329,-20753.423661429035,0.003704819965483876,28.0,0.02,4100.0,0.000975803283388641
8094.7896863873375,2945.8453376281136,7806.310456558647,-21025.860357734775,0.0036629470200636553,29.0,0.02,4100.0,0.0010097879984478366
8220.884268903239,2917.5716269672503,7943.924259654144,-21288.697333884804,0.003622522561383187,30.0,0.02,4100.0,0.001043715063411405
0.0,0.0,0.0,-2.1237246499294997,0.006393722856822843,0.0,0.06,4250.0,0.0
736.354650222827,615.3168309141618,718.9877958574142,-2228.995517785421,0.006099660343919262,1.0,0.06,4200.0,3.5682435870027843e-05
1349.9918854614084,1087.5556311083237,1304.1717694598674,-4058.3472461456768,0.005878666346192324,2.0,0.06,4200.0,7.13013232899229e-05
1880.2286404126744,1462.1179153817595,1634.45862342135,-5607.060076542293,0.005684865954928874,3.0,0.06,4200.0,0.00010685688820990892
2349.0686466508155,1764.8739641677462,1893.2026389451632,-6947.165692034912,0.005512507697521438,4.0,0.06,4200.0,0.0001423493553772791
2770.346037484408,2012.447835547888,2292.8689706001537,-8126.113076829752,0.005357515251304462,5.0,0.06,4200.0,0.0001777789483449199
3153.451000012702,2216.2756435516417,2669.1209717314764,-9176.839263358946,0.005216884753893909,6.0,0.06,4200.0,0.00021314588947975957
3505.1057910834656,2384.555025550911,3018.9323257453625,-10123.153267583715,0.005088334208177233,7.0,0.06,4200.0,0.00024845039997114225
3830.3186566943605,2523.710153988824,3345.3605453037767,-10983.004739000033,0.0049490368031551305,8.0,0.06,4150.0,0.00028369269983912767
4132.94319070347,2638.3596939143654,3651.366386103599,-11769.882470601791,0.004840685330410665,9.0,0.06,4150.0,0.0003188730079427189
4416.009687467293,2732.5550678838285,3939.395532012941,-12494.393220452068,0.004739975987390531,10.0,0.06,4150.0,0.0003539915419880172
4681.959977464518,2809.1827872678,4211.775825192228,-13165.057581109024,0.004645988566841993,11.0,0.06,4150.0,0.0003890485185363046
4932.788571256626,2870.991129934178,4469.932454004612,-13788.782845555172,0.004557957962084367,12.0,0.06,4150.0,0.0004240441530120581
5170.1492353565745,2919.854596983952,4715.6586823245225,-14371.24540467409,0.004475241033896824,13.0,0.06,4150.0,0.00045897865971089135
5395.431791916559,2957.804265384187,4949.87640387569,-14917.16605630036,0.004397291929100875,14.0,0.06,4150.0,0.0004938522518074282
5609.815812157986,2986.0674887206646,5173.781975808228,-15430.512350931487,0.004323643408056168,15.0,0.06,4150.0,0.0005286651413631086
5814.311920438415,3006.1253026208105,5388.362590374955,-15914.650192228357,0.004253892557594154,16.0,0.06,4150.0,0.0005634175393339245
6009.793336588191,3018.9393033805236,5594.2167557342855,-16372.459307704768,0.00418768917461825,17.0,0.06,4150.0,0.0005981096555780908
6197.020982112381,3025.4440865848187,5792.048638993195,-16806.42147109948,0.00412472725109854,18.0,0.06,4150.0,0.000632741698863649
6376.661194546507,3026.5963354339215,5982.680189196606,-17218.743169873298,0.004050413153135195,19.0,0.06,4100.0,0.0006673138768760085
6549.299633797203,3022.930475692777,6166.506865232685,-17611.296004152187,0.003993555405005542,20.0,0.06,4100.0,0.0007018263962254038
6715.456485741128,3015.124889654683,6343.93408993342,-17985.681394680163,0.003939196392534068,21.0,0.06,4100.0,0.000736279462454328
6875.597968749068,3003.8115894382026,6515.395534983709,-18343.358708680025,0.003887150360310399,22.0,0.06,4100.0,0.0007706732800448598
7030.138436714802,2989.338215395832,6681.300397960769,-18685.621850791424,0.0038372508770930314,23.0,0.06,4100.0,0.0008050080524259507
7179.448605947062,2972.1326096547723,6842.134447998524,-19013.624244343773,0.003789348430792072,24.0,0.06,4100.0,0.0008392839819806442
7323.869191545169,2952.662053262751,6998.127043152377,-19328.397224337925,0.0037433079708271495,25.0,0.06,4100.0,0.0008735012700532328
7463.701663196117,2931.1987850737482,7149.492566262983,-19630.86734406536,0.0036990074384294176,26.0,0.06,4100.0,0.0009076601169563551
7599.223753311783,2907.9995900112117,7296.497720941604,-19921.86961059617,0.003656335806836752,27.0,0.06,4100.0,0.0009417607219780316
7730.6892653634,2883.3262114311583,7439.391339124273,-20202.158722032764,0.00361519216282737,28.0,0.06,4100.0,0.000975803283388641
7858.326078268237,2857.411159256848,7578.377447520247,-20472.419903144386,0.003575484294547247,29.0,0.06,4100.0,0.0010097879984478366
7982.349440093888,2830.513380066306,7713.661618401925,-20733.275727321845,0.003537127717569769,30.0,0.06,4100.0,0.001043715063411405
0.0,0.0,0.0,-2.1237246499294997,0.0060980227162725845,0.0,0.1,4250.0,0.0
703.7127295501855,587.9908918998254,687.1088799788599,-2130.3171301528128,0.0058289656486998406,1.0,0.1,4200.0,3.5682435870027843e-05
1291.876573484814,1040.5867265126885,1247.1511468484575,-3884.82357983369,0.005627352318900721,2.0,0.1,4200.0,7.13013232899229e-05
1801.361927423584,1400.5156390098387,1565.42489966565,-5374.746260286789,0.005449998337918626,3.0,0.1,4200.0,0.00010685688820990892
2252.804981784339,1692.1480910001665,1815.292291841386,-6667.465209244459,0.005291832759999846,4.0,0.1,4200.0,0.0001423493553772791
2659.1966020498176,1931.1717794179945,2199.4886203168603,-7807.449542647868,0.005149252249533862,5.0,0.1,4200.0,0.0001777789483449199
3029.3600887483476,2128.4042141035998,2562.3433145714353,-8825.62698034165,0.005019594964953431,6.0,0.1,4200.0,0.00021314588947975957
3369.6243194011126,2291.601834577085,2900.36363192802,-9744.396184282195,0.004900834014460438,7.0,0.1,4200.0,0.00024845039997114225
3684.7088563195916,2426.8764206876913,3216.2587104470426,-10580.577931050735,0.0047707559073877385,8.0,0.1,4150.0,0.00028369269983912767
3978.2486000348367,2538.6087779121435,3512.7628756371746,-11347.114986880086,0.004670314600433301,9.0,0.1,4150.0,0.0003188730079427189
4253.110011386943,2630.649987919716,3792.1706782752085,-12053.929988877331,0.004576808923338086,10.0,0.1,4150.0,0.0003539915419880172
4511.604264310506,2705.7751299817373,4056.6616238513357,-12709.095374293742,0.004489414996062461,11.0,0.1,4150.0,0.0003890485185363046
4755.61885956499,2766.5834380947244,4307.573564429809,-13319.165565942581,0.004407446558986512,12.0,0.1,4150.0,0.0004240441530120581
4986.723788597378,2814.8977085183537,4546.605610585885,-13889.535154884601,0.004330325817721525,13.0,0.1,4150.0,0.00045897865971089135
5206.238905412963,2852.6327190030775,4774.630714945401,-14424.697260889654,0.00425756154726239,14.0,0.1,4150.0,0.0004938522518074282
5415.285679117065,2880.979483117589,4992.792896004759,-14928.433526394794,0.004188732521573413,15.0,0.1,4150.0,0.0005286651413631086
