CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b,ent_std
0.0,0.0,0.0,-2.628212131370674,0.009659155665531487,0.0,0.02,4300.0,0.0,
2118.3589116519925,134.82897889536076,24.539808187647154,-5310.616567970006,0.008521563545745264,1.0,0.02,4300.0,6.496769562096195e-05,3.5714285714285718e-06
3742.716502409748,69.60290693499098,13.076501831377923,-8420.373427264203,0.007571753864412293,2.0,0.02,4250.0,0.0001292175161521895,7.1428571428571436e-06
5148.396556111203,46.17782558427554,8.914014244677938,-10527.99355390841,0.00682420309467409,3.0,0.02,4250.0,0.0001927494615936827,1.0714285714285716e-05
6417.8304689435245,34.59422017716699,6.79234640469692,-12089.862115060227,0.00616933849735819,4.0,0.02,4200.0,0.00025556353194544146,1.4285714285714287e-05
7585.822455162147,27.663977244487786,5.471026637721361,-13319.889053518782,0.005636027693404039,5.0,0.02,4200.0,0.00031945441493180186,1.7857142857142862e-05
8671.017161562117,23.066576851767504,4.595081348948257,-14328.163914174693,0.005176024183108204,6.0,0.02,4200.0,0.00038119167264895906,2.142857142857143e-05
9685.41916690997,19.791312029299927,3.9615792361941553,-15179.972491298926,0.004761127413439968,7.0,0.02,4150.0,0.00044472361809045225,2.5000000000000008e-05
10638.329456826157,17.316639118357898,3.4662044215530043,-15915.197216733104,0.004411399562224622,8.0,0.02,4150.0,0.0005082555635319454,2.8571428571428574e-05
11536.159366753478,15.40058187272944,3.050024068048586,-16558.196239951656,0.004103298991649482,9.0,0.02,4150.0,0.0005685570710696339,3.214285714285715e-05
12384.706303373852,13.888292949848651,2.809020578790496,-17128.15476321079,0.0038285834276204343,10.0,0.02,4150.0,0.0006317300789662599,3.5714285714285724e-05
13189.0261326599,12.613090353813682,2.5032357373660514,-17636.764689022544,0.003575685813221023,11.0,0.02,4100.0,0.0006949030868628859,3.928571428571429e-05
13953.81735897581,11.605020020037776,2.355058629490277,-18096.44905440088,0.0033559182072206155,12.0,0.02,4100.0,0.0007537688442211055,4.285714285714286e-05
