CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b
0.0,0.0,0.0,-2.628212131370674,0.009659155665531487,0.0,0.02,4300.0,0.0
,,,-5168.184800747447,0.00882343699993666,1.0,0.02,4300.0,5.3033022254127786e-05
,,,-7913.837967550811,0.008157923634435989,2.0,0.02,4250.0,0.00010606604450825557
,,,-9514.893247034779,0.0076700505449918376,3.0,0.02,4250.0,0.00015829145728643216
,,,-10487.90499105525,0.007264507850411105,4.0,0.02,4250.0,0.00021105527638190955
,,,-11082.747365041432,0.006886000169783068,5.0,0.02,4200.0,0.000262473079684135
,,,-11437.719178185595,0.006589549656291044,6.0,0.02,4200.0,0.00031496769562096196
,,,-11635.414441032313,0.006327606415150559,7.0,0.02,4200.0,0.00036746231155778894
,,,-11721.662615756293,0.006095181254743327,8.0,0.02,4200.0,0.0004178033022254128
,,,-11736.39000274775,0.005857958958892139,9.0,0.02,4150.0,0.0004700287150035893
,,,-11695.896730745837,0.005670142959167086,10.0,0.02,4150.0,0.000519562096195262
,,,-11617.383512522036,0.005499008376807193,11.0,0.02,4150.0,0.0005715183058147882
,,,-11516.086450065071,0.005339675860188134,12.0,0.02,4150.0,0.0006234745154343144
,,,-11396.300044259871,0.005192245037689459,13.0,0.02,4150.0,0.0006719310839913854
,,,-11257.291168144628,0.0050587773773502235,14.0,0.02,4150.0,0.0007236180904522613
,,,-11113.64471875794,0.004913127916012539,15.0,0.02,4100.0,0.0007712670495333812
,,,-10963.834118218241,0.004796549180732316,16.0,0.02,4100.0,0.0008226848528356066
,,,-10811.504654609264,0.004687915026542754,17.0,0.02,4100.0,0.000874102656137832
,,,-10654.92010367188,0.004585329894127056,18.0,0.02,4100.0,0.0009206748025843502
,,,-10502.271025923576,0.004488611467702619,19.0,0.02,4100.0,0.0009718234027279251
,,,-10350.770565492712,0.004396692397955905,20.0,0.02,4100.0,0.0010175879396984925
,,,-10195.999617911446,0.004311413645816602,21.0,0.02,4100.0,0.001068467336683417
,,,-10048.020744116715,0.0042308313352738295,22.0,0.02,4100.0,0.0011193467336683418
,,,-9900.93629948458,0.004152355690432128,23.0,0.02,4100.0,0.001164034458004307
