CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b
0.0,0.0,0.0,-2.628212131370674,0.009659155665531487,0.0,0.02,4300.0,0.0
,,,-5192.401942568278,0.008775067011216043,1.0,0.02,4300.0,5.357142857142857e-05
,,,-8022.0618719837,0.008037344684735253,2.0,0.02,4250.0,0.00010660445082555634
,,,-9747.882015536823,0.007477941261723634,3.0,0.02,4250.0,0.0001599066762383345
,,,-10865.300407837873,0.006975098955911705,4.0,0.02,4200.0,0.00021320890165111268
,,,-11612.495479979683,0.006578890139095468,5.0,0.02,4200.0,0.0002665111270638909
,,,-12120.923803448903,0.0062347764535776,6.0,0.02,4200.0,0.000319813352476669
,,,-12465.267181365329,0.005932665174400962,7.0,0.02,4200.0,0.00037123115577889453
,,,-12693.622215107847,0.005641736145864895,8.0,0.02,4150.0,0.0004242641780330223
,,,-12842.509835332618,0.005402713983675283,9.0,0.02,4150.0,0.00047729720028715
,,,-12926.050841964381,0.005189541551108146,10.0,0.02,4150.0,0.0005303302225412779
,,,-12961.62120042769,0.004995565040845631,11.0,0.02,4150.0,0.0005833632447954057
,,,-12973.876255604875,0.004816078093323867,12.0,0.02,4150.0,0.0006331658291457286
,,,-12949.184382019972,0.0046551043962700465,13.0,0.02,4150.0,0.000685929648241206
,,,-12907.153555080047,0.004488059702612811,14.0,0.02,4100.0,0.0007386934673366835
,,,-12848.88930124067,0.004350799675414943,15.0,0.02,4100.0,0.0007914572864321607
,,,-12778.861264160543,0.004224124914482112,16.0,0.02,4100.0,0.0008442211055276382
,,,-12703.654654006365,0.0041043755053177975,17.0,0.02,4100.0,0.0008924084709260588
,,,-12617.858144976177,0.003993701499351633,18.0,0.02,4100.0,0.0009449030868628858
,,,-12522.592724679176,0.003890174408459276,19.0,0.02,4100.0,0.0009973977027997127
,,,-12430.191235197912,0.0037918984551376395,20.0,0.02,4100.0,0.00104989231873654
,,,-12331.953088161004,0.003700238535393979,21.0,0.02,4100.0,0.0011023869346733668
,,,-12225.290359978535,0.0036036546733462294,22.0,0.02,4050.0,0.001148959081119885
,,,-12125.496932164962,0.003522073685807273,23.0,0.02,4050.0,0.0012011844938980617
,,,-12032.688728441462,0.0034422497726245304,24.0,0.02,4050.0,0.0012534099066762382
,,,-11928.049814343169,0.003371645492135573,25.0,0.02,4050.0,0.001305635319454415
,,,-11816.784858281804,0.0033030700291389803,26.0,0.02,4050.0,0.0013578607322325914
,,,-11714.527109939132,0.003236640026538398,27.0,0.02,4050.0,0.001402817659727207
,,,-11616.863838959966,0.003173069904369093,28.0,0.02,4050.0,0.0014547738693467336
,,,-11516.283889239217,0.0031143017103176535,29.0,0.02,4050.0,0.0015067300789662597
,,,-11412.067371628014,0.003057121539883975,30.0,0.02,4050.0,0.0015586862885857858
0.0,0.0,0.0,-2.628212131370674,0.009216223756612723,0.0,0.06,4300.0,0.0
,,,-4979.445050602619,0.00841200652937493,1.0,0.06,4300.0,5.357142857142857e-05
,,,-7724.231530302655,0.007734030166889708,2.0,0.06,4250.0,0.00010660445082555634
,,,-9419.820471485167,0.007219125829961163,3.0,0.06,4250.0,0.0001599066762383345
,,,-10533.70432021175,0.006785481335914326,4.0,0.06,4250.0,0.00021320890165111268
,,,-11291.310462148453,0.006384236204687571,5.0,0.06,4200.0,0.0002665111270638909
,,,-11817.85259499662,0.006063590934745771,6.0,0.06,4200.0,0.000319813352476669
,,,-12184.39007898765,0.005781161498719295,7.0,0.06,4200.0,0.00037123115577889453
,,,-12436.727408833598,0.005530517314487989,8.0,0.06,4200.0,0.0004242641780330223
,,,-12610.513797455002,0.005282264402378942,9.0,0.06,4150.0,0.00047729720028715
,,,-12719.141488345304,0.00508137723533553,10.0,0.06,4150.0,0.0005303302225412779
,,,-12779.49769567571,0.004898168063303525,11.0,0.06,4150.0,0.0005833632447954057
,,,-12815.662967291202,0.004728280665924653,12.0,0.06,4150.0,0.0006331658291457286
,,,-12814.013611655508,0.004575591979381855,13.0,0.06,4150.0,0.000685929648241206
,,,-12794.350093930232,0.004432541533637879,14.0,0.06,4150.0,0.0007386934673366835
,,,-12757.443025389264,0.004285252505971709,15.0,0.06,4100.0,0.0007914572864321607
,,,-12707.69323678987,0.00416448532246368,16.0,0.06,4100.0,0.0008442211055276382
,,,-12651.784972039539,0.004050154376159545,17.0,0.06,4100.0,0.0008924084709260588
,,,-12584.72539525626,0.003944320069930699,18.0,0.06,4100.0,0.0009449030868628858
,,,-12507.393897872491,0.00384518453635187,19.0,0.06,4100.0,0.0009973977027997127
,,,-12431.86670289543,0.003750934034546062,20.0,0.06,4100.0,0.00104989231873654
,,,-12349.698265968356,0.0036629325870318457,21.0,0.06,4100.0,0.0011023869346733668
,,,-12258.217887765895,0.0035817213129180916,22.0,0.06,4100.0,0.001148959081119885
,,,-12173.068359226956,0.003502757989001647,23.0,0.06,4100.0,0.0012011844938980617
,,,-12094.050371607875,0.0034140289004713055,24.0,0.06,4050.0,0.0012534099066762382
,,,-12002.165344116227,0.003345905447100671,25.0,0.06,4050.0,0.001305635319454415
,,,-11903.984279302298,0.00327970121505289,26.0,0.06,4050.0,0.0013578607322325914
,,,-11813.433378091358,0.0032155139971907273,27.0,0.06,4050.0,0.001402817659727207
,,,-11727.487430052213,0.003154022167380054,28.0,0.06,4050.0,0.0014547738693467336
,,,-11637.9641217733,0.003097105498911441,29.0,0.06,4050.0,0.0015067300789662597
,,,-11543.92959186888,0.0030417046198729747,30.0,0.06,4050.0,0.0015586862885857858
0.0,0.0,0.0,-2.628212131370674,0.008778186795266898,0.0,0.1,4300.0,0.0
,,,-4766.461673973165,0.008049200771484442,1.0,0.1,4300.0,5.357142857142857e-05
,,,-7423.419080061954,0.007428209488629505,2.0,0.1,4250.0,0.00010660445082555634
,,,-9085.291275626783,0.006956045655378012,3.0,0.1,4250.0,0.0001599066762383345
,,,-10192.350127350197,0.006556553891048407,4.0,0.1,4250.0,0.00021320890165111268
,,,-10957.365216937476,0.0061835363868125446,5.0,0.1,4200.0,0.0002665111270638909
,,,-11499.458899080739,0.005885915672342089,6.0,0.1,4200.0,0.000319813352476669
,,,-11886.010059716209,0.005622909430981632,7.0,0.1,4200.0,0.00037123115577889453
,,,-12160.653187475764,0.00538880366565792,8.0,0.1,4200.0,0.0004242641780330223
,,,-12357.634608945657,0.005154933761425387,9.0,0.1,4150.0,0.00047729720028715
,,,-12490.081467371718,0.00496635388689873,10.0,0.1,4150.0,0.0005303302225412779
,,,-12574.181339468552,0.004793978814664773,11.0,0.1,4150.0,0.0005833632447954057
,,,-12633.400882000024,0.0046337915840608665,12.0,0.1,4150.0,0.0006331658291457286
,,,-12654.13195994615,0.004489511437941667,13.0,0.1,4150.0,0.000685929648241206
,,,-12656.343976418335,0.00435409647762269,14.0,0.1,4150.0,0.0007386934673366835
,,,-12640.360736236005,0.004229446712940116,15.0,0.1,4150.0,0.0007914572864321607
,,,-12610.5810582349,0.0040987382009075,16.0,0.1,4100.0,0.0008442211055276382
,,,-12573.781492867653,0.003989984075834385,17.0,0.1,4100.0,0.0008924084709260588
,,,-12525.339779685237,0.0038891506881823528,18.0,0.1,4100.0,0.0009449030868628858
,,,-12465.902824938028,0.0037945666348875636,19.0,0.1,4100.0,0.0009973977027997127
,,,-12407.281385801056,0.0037045043865123256,20.0,0.1,4100.0,0.00104989231873654
,,,-12341.265030903858,0.0036203194506818654,21.0,0.1,4100.0,0.0011023869346733668
