CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b
0.0,0.0,0.0,-2.628212131370674,0.009659155665531487,0.0,0.02,4300.0,0.0
2130.1301633817952,1613.313224175615,8.285312224714456,-5332.1927498188015,0.008472391289847052,1.0,0.02,4300.0,7.13013232899229e-05
3716.2648930074315,2601.3078692668623,11.018513531042354,-8408.241670161682,0.007573126425288535,2.0,0.02,4250.0,0.0001423493553772791
5033.615378349447,3268.7203058258165,10.725982362294621,-10417.317259821823,0.006892009035230994,3.0,0.02,4250.0,0.00021314588947975957
6180.3629545624135,3732.642909384535,9.96981671834912,-11833.69549806411,0.006301183088792628,4.0,0.02,4200.0,0.00028369269983912767
7204.2713340395985,4063.88624645852,9.131234146648977,-12886.11428277845,0.005827437062265631,5.0,0.02,4200.0,0.0003539915419880172
8132.644482983154,4281.372687728099,8.405790781614277,-13693.758792388777,0.005421243117522215,6.0,0.02,4200.0,0.0004240441530120581
8984.020122188791,4424.755062008177,7.628501786020165,-14335.398477645278,0.005048640749995916,7.0,0.02,4150.0,0.0004938522518074282
9770.32206887129,4537.2517948870345,7.011998252536612,-14852.665609180702,0.004738984298918975,8.0,0.02,4150.0,0.0005634175393339245
10500.927469950944,4584.652195867422,6.590654323857849,-15277.930524654315,0.004464355183890642,9.0,0.02,4150.0,0.000632741698863649
11185.402274107382,4570.887329411813,5.996044671673625,-15630.878699768422,0.004217906922438658,10.0,0.02,4150.0,0.0007018263962254038
11827.273850454616,4560.0028746646485,5.432207947632952,-15925.229763896787,0.003996755778034139,11.0,0.02,4150.0,0.0007706732800448598
12428.64009120278,4529.754963522412,5.371465933695709,-16170.58651625977,0.0037884967858861844,12.0,0.02,4100.0,0.0008392839819806442
12999.688279118387,4487.025472709088,5.036669944796247,-16381.467443554095,0.0036073537638240203,13.0,0.02,4100.0,0.0009076601169563551
13543.336223217977,4399.47007925159,4.841385578262516,-16567.541763234767,0.0034426942791742745,14.0,0.02,4100.0,0.000975803283388641
14055.873667539003,4337.863709866451,4.515125792130018,-16717.36961258651,0.0032918623238544346,15.0,0.02,4100.0,0.001043715063411405
14547.247032606243,4235.177745058981,4.283764701881615,-16851.979267107847,0.0031517203417724456,16.0,0.02,4100.0,0.0011113970230962158
15015.329928862775,4166.096150827164,4.0373341075335665,-16962.76625762946,0.0030158920894821934,17.0,0.02,4050.0,0.0011788507126690004
15461.796976398364,4095.2476012184766,3.9038532015771565,-17064.045897758704,0.002897646856974021,18.0,0.02,4050.0,0.0012460776667230968
