z,p,T_rho,T,qv,h,T_env,q_env,h_env,T_rho_u,T_u,qv_u,h_u,CAPE_u,B_u,T_rho_w,T_w,qv_w,h_w,CAPE_w,B_w,ent
50.0,100000.0,302.1144508362445,300.0,0.011596392067629968,56765.232711822384,299.99999999999994,0.011521670826151152,56576.620871755884,302.1144508362445,300.0,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,302.1144508362445,300.0,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
100.0,99435.97618595102,301.62813986069045,299.5170926373685,0.011596392067629968,56765.232711822384,299.55942290202506,0.011291766660209574,56039.40710392204,301.62813986069045,299.5170926373685,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,301.62813986069045,299.55942290202506,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
150.0,98874.23192058632,301.1418288851365,299.03418527473696,0.011596392067629968,56765.232711822384,299.11810818693607,0.011065124220909977,55509.85033844043,301.1418288851365,299.03418527473696,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,301.1418288851365,299.11810818693607,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
200.0,98314.76164688013,300.65551790958244,298.55127791210543,0.011596392067629968,56765.232711822384,298.6760617689571,0.010841726672366044,54987.91080180197,300.65551790958244,298.55127791210543,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,300.65551790958244,298.6760617689571,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
250.0,97757.55981241263,300.16920693402847,298.0683705494739,0.011596392067629968,56765.232711822384,298.2332896376371,0.010621556693987613,54473.54758298516,300.16920693402847,298.0683705494739,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,300.16920693402847,298.2332896376371,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
300.0,97202.6208693732,299.6828959584744,297.58546318684233,0.011596392067629968,56765.232711822384,297.7897978557347,0.01040459648738007,53966.71864984193,299.6828959584744,297.58546318684233,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,299.6828959584744,297.7897978557347,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
350.0,96649.93927456379,299.1965849829204,297.1025558242108,0.011596392067629968,56765.232711822384,297.34559255705807,0.010190827783542751,53467.38086618427,299.1965849829204,297.1025558242108,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,299.1965849829204,297.34559255705807,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
400.0,96099.50948940302,298.71027400736637,296.6196484615793,0.011596392067629968,56765.232711822384,296.90067994426056,0.009980231850359803,52975.49000955503,298.71027400736637,296.6196484615793,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,298.71027400736637,296.90067994426056,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
450.0,95551.32597992972,298.2239630318124,296.13674109894777,0.011596392067629968,56765.232711822384,296.455066286595,0.009772789500377226,52491.00078966831,298.2239630318124,296.13674109894777,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,298.2239630318124,296.455066286595,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
500.0,95005.3832168064,297.73765205625836,295.65383373631624,0.011596392067629968,56765.232711822384,296.00875791762843,0.009568481098859062,52013.86686750296,297.73765205625836,295.65383373631624,0.011596392067629968,56765.232711822384,3069.126835705406,0.0,297.73765205625836,296.00875791762843,0.011596392067629968,56765.232711822384,1005.5516387138382,0.0,0.0
