z,p,T_rho,T,qv,h,T_env,q_env,h_env,T_rho_u,T_u,qv_u,h_u,CAPE_u,B_u,T_rho_w,T_w,qv_w,h_w,CAPE_w,B_w,ent
50.0,100000.0,302.8262228260869,300.0,0.0155,66618.74505250002,299.9963394336978,0.015433165617956773,66446.31101452737,302.8262228260869,300.0,0.0155,66618.74505250002,2849.690926215627,0.0,302.8262228260869,300.0,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
100.0,99437.29814783567,302.3403799236295,299.5186913822158,0.0155,66618.74505250002,299.5694889215432,0.015138326393134274,65757.70837699785,302.3403799236295,299.5186913822158,0.0155,66618.74505250002,2849.690926215627,0.0,302.3403799236295,299.5694889215432,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
150.0,98876.8660278752,301.854537021172,299.0373827644316,0.0155,66618.74505250002,299.14175480869153,0.014847295372416025,65078.03318310258,301.854537021172,299.0373827644316,0.0155,66618.74505250002,2849.690926215627,0.0,301.854537021172,299.14175480869153,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
200.0,98318.69811303161,301.3686941187146,298.5560741466474,0.0155,66618.74505250002,298.71314239521206,0.014560062313260099,64407.26143012638,301.3686941187146,298.5560741466474,0.0155,66618.74505250002,2849.690926215627,0.0,301.3686941187146,298.71314239521206,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
250.0,97762.78888081323,300.88285121625717,298.0747655288632,0.0155,66618.74505250002,298.28365710142407,0.014276616287523919,63745.367500758126,300.88285121625717,298.0747655288632,0.0155,66618.74505250002,2849.690926215627,0.0,300.88285121625717,298.28365710142407,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
300.0,97209.1328133278,300.39700831379974,297.59345691107904,0.0155,66618.74505250002,297.85330446621913,0.013996945684403728,63092.32417017844,300.39700831379974,297.59345691107904,0.0155,66618.74505250002,2849.690926215627,0.0,300.39700831379974,297.85330446621913,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
350.0,96657.72439728609,299.91116541134227,297.11214829329487,0.0155,66618.74505250002,297.42209014529584,0.01372103821384554,62448.10261425594,299.91116541134227,297.11214829329487,0.0155,66618.74505250002,2849.690926215627,0.0,299.91116541134227,297.42209014529584,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
400.0,96108.55812400479,299.4253225088848,296.63083967551063,0.0155,66618.74505250002,296.9900199093081,0.013448880910428198,61812.67241885313,299.4253225088848,296.63083967551063,0.0155,66618.74505250002,2849.690926215627,0.0,299.4253225088848,296.9900199093081,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
450.0,95561.628489411,298.93947960642737,296.14953105772645,0.0155,66618.74505250002,296.55709964193,0.01318046013771816,61186.001590242595,298.93947960642737,296.14953105772645,0.0155,66618.74505250002,2849.690926215627,0.0,298.93947960642737,296.55709964193,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
500.0,95016.92999404533,298.45363670396995,295.66822243994227,0.0155,66618.74505250002,296.1233353378359,0.01291576159309299,60568.05656662333,298.45363670396995,295.66822243994227,0.0155,66618.74505250002,2849.690926215627,0.0,298.45363670396995,296.1233353378359,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
550.0,94474.45714306565,297.9677938015125,295.1869138221581,0.0155,66618.74505250002,295.6887331006,0.012654770313033607,59958.80223073979,297.9677938015125,295.1869138221581,0.0155,66618.74505250002,2849.690926215627,0.0,297.9677938015125,295.6887331006,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
600.0,93934.20444625041,297.4819508990551,294.7056052043739,0.0155,66618.74505250002,295.2532991405157,0.012397470678880876,59358.20192359157,297.4819508990551,294.7056052043739,0.0155,66618.74505250002,2849.690926215627,0.0,297.4819508990551,295.2532991405157,0.0155,66618.74505250002,905.7088881945941,0.0,0.0
