z,T_rho,T,p,qv,qsat,ql,qi,h,T_env,q_env,h_env,ent
50.0,302.8262228260869,300.0,100000.0,0.0155,0.02226665617123077,0.0,0.0,66618.74505250002,299.9963394336978,0.015520265209605283,66666.16809042632,0.0
100.0,302.3403799236295,299.5186913822158,99437.29814783567,0.0155,0.02176097517022791,0.0,0.0,66618.74505250002,299.5694889215432,0.015218379753143768,65959.74979796549,0.0
150.0,301.854537021172,299.0373827644316,98876.8660278752,0.0155,0.021264876857193186,0.0,0.0,66618.74505250002,299.14175480869153,0.014920536705944619,65262.85510091529,0.0
200.0,301.3686941187146,298.5560741466474,98318.69811303161,0.0155,0.02077821850151852,0.0,0.0,66618.74505250002,298.71314239521206,0.014626721337991117,64575.44843040084,0.0
250.0,300.88285121625717,298.0747655288632,97762.78888081323,0.0155,0.020300858900381157,0.0,0.0,66618.74505250002,298.28365710142407,0.014336918257803512,63897.49266932373,0.0
300.0,300.39700831379974,297.59345691107904,97209.1328133278,0.0155,0.019832658366437234,0.0,0.0,66618.74505250002,297.85330446621913,0.014051111416438092,63228.949162118704,0.0
350.0,299.91116541134227,297.11214829329487,96657.72439728609,0.0155,0.019373478715746913,0.0,0.0,66618.74505250002,297.42209014529584,0.013769284111949482,62569.7777255953,0.0
400.0,299.4253225088848,296.63083967551063,96108.55812400479,0.0155,0.01892318325592412,0.0,0.0,66618.74505250002,296.9900199093081,0.013491418994315921,61919.93666086345,0.0
450.0,298.93947960642737,296.14953105772645,95561.628489411,0.0155,0.018481636774503304,0.0,0.0,66618.74505250002,296.55709964193,0.013217498070825973,61279.38276634085,0.0
500.0,298.45363670396995,295.66822243994227,95016.92999404533,0.0155,0.01804870552751428,0.0,0.0,66618.74505250002,296.1233353378359,0.012947502711922729,60648.071351829305,0.0
550.0,297.9677938015125,295.1869138221581,94474.45714306565,0.0155,0.017624257228259523,0.0,0.0,66618.74505250002,295.6887331006,0.01268141365750448,60025.95625366028,0.0
600.0,297.4819508990551,294.7056052043739,93934.20444625041,0.0155,0.017208161036285034,0.0,0.0,66618.74505250002,295.2532991405157,0.012419211023676489,59412.989850895,0.0
650.0,296.99610799659763,294.2242965865897,93396.16641800293,0.0155,0.016800287546538645,0.0,0.0,66618.74505250002,294.8170397723367,0.012160874309949964,58809.12308256996,0.0
700.0,296.5102650941402,293.7429879688055,92860.33757735442,0.0155,0.01640050877870854,0.0,0.0,66618.74505250002,294.37996141294235,0.011906382406882679,58214.30546597434,0.0
750.0,296.0244221916828,293.2616793510213,92326.71244796783,0.0155,0.016008698166733913,0.0,0.0,66618.74505250002,293.9420705789284,0.011655713604155696,57628.48511594592,0.0
800.0,295.53857928922537,292.78037073323713,91795.28555814165,0.0155,0.015624730548483281,0.0,0.0,66618.74505250002,293.50337388412674,0.011408845599079528,57051.6087651698,0.0
850.0,295.22444224257083,292.4823519452316,91266.05144081358,0.015425123110935968,0.015425123110935968,0.0,0.0,66617.0168901281,293.2156446443741,0.011271860234978162,56904.926170320105,0.000588235294117647
900.0,294.896591153868,292.19116064662893,90739.31028362118,0.015234067046658202,0.015234067046658202,0.0,0.0,66329.8081789998,292.91554038418474,0.011127554894874067,56727.314744298565,0.0005555555555555556
950.0,294.57401558858265,291.9041118832433,90215.02866900043,0.015048802362958157,0.015048802362958157,0.0,0.0,66061.4937604784,292.6198340026094,0.010987723200741692,56565.50674304562,0.0005263157894736842
1000.0,294.25608876349446,291.6206962818639,89693.20714761667,0.014868717609144896,0.014868717609144896,0.0,0.0,65810.0095117513,292.32798931853637,0.010851895010223529,56417.769256454514,0.0005
1050.0,293.94227896947035,291.34048135318,89173.84503375909,0.01469329612185339,0.01469329612185339,0.0,0.0,65573.60918464804,292.0395511795049,0.010719673113206627,56282.63602351118,0.0004761904761904762
1100.0,293.6321312061416,291.06309667110935,88656.9405948177,0.014522097561983102,0.014522097561983102,0.0,0.0,65350.80264257144,291.7541298361453,0.010590719011883173,56158.85561464833,0.00045454545454545455
1150.0,293.3252530330724,290.7882224477329,88142.49120476973,0.014354743725553572,0.014354743725553572,0.0,0.0,65140.308359785326,291.47138889808105,0.010464741995199357,56045.35158052575,0.0004347826086956522
1200.0,293.02130352834007,290.51558061231486,87630.49346984898,0.014190907496248475,0.014190907496248475,0.0,0.0,64941.01641267498,291.191035930642,0.010341490634328937,55941.1914036159,0.0004166666666666667
1250.0,292.7199845711926,290.24492776430753,87120.94333244282,0.014030304142055458,0.014030304142055458,0.0,0.0,64751.95930490378,290.91281502765065,0.010220746084098469,55845.56202233107,0.0004
1300.0,292.42103388632,289.9760495476165,86613.8361577467,0.013872684384708959,0.013872684384708959,0.0,0.0,64572.288721178156,290.63650088272954,0.010102316749915,55757.750329090726,0.0003846153846153846
1350.0,292.1242194397803,289.7087561159542,86109.166806618,0.013717828826501913,0.013717828826501913,0.0,0.0,64401.25682318042,290.36189401089086,0.009986033999984547,55677.12747908247,0.00037037037037037035
1400.0,291.8293348836542,289.44287844517817,85606.92969727861,0.013565543428169334,0.013565543428169334,0.0,0.0,64238.20106479415,290.08881686297343,0.009871748686782708,55603.13615151691,0.00035714285714285714
1450.0,291.5361958227789,289.1782653098752,85107.11885792647,0.013415655809141145,0.013415655809141145,0.0,0.0,64082.53176240195,289.81711064023216,0.00975932830157349,55535.280122212425,0.0003448275862068965
1500.0,291.24463673200603,288.91478078580747,84609.72797187362,0.013268012197396671,0.013268012197396671,0.0,0.0,63933.72184261144,289.5466326631659,0.009648654628891471,55473.11566287337,0.0003333333333333333
